Distance_(pixels),Gray_Value
530,6.333
531,6.385
532,6.441
533,5.529
534,5.551
535,7.059
536,8.223
537,8.333
538,8.333
539,8.219
540,8.333
541,8.099
542,8.498
543,8.090
544,7.333
545,7.582
546,8.284
547,9.011
548,9.108
549,9.050
550,9.333
551,8.856
552,7.543
553,7.468
554,7.678
555,7.795
556,8.240
557,8.993
558,9.448
559,10.185
560,10.103
561,10.268
562,11.205
563,11.850
564,12.896
565,14.608
566,13.976
567,13.917
568,14.476
569,15.469
570,17.255
571,17.994
572,17.280
573,16.962
574,17.606
575,17.314
576,17.555
577,18.332
578,17.471
579,16.829
580,17.508
581,18.705
582,20.829
583,22.238
584,22.410
585,21.784
586,21.248
587,21.219
588,21.544
589,21.250
590,21.556
591,21.731
592,21.667
593,22.700
594,24.667
595,23.666
596,24.402
597,23.776
598,24.377
599,25.670
600,26.246
601,26.273
602,27.014
603,28.759
604,31.056
605,31.919
606,31.253
607,30.808
608,31.055
609,31.739
610,32.119
611,31.495
612,31.328
613,31.259
614,29.925
615,28.898
616,28.644
617,28.389
618,28.033
619,28.282
620,29.046
621,29.865
622,29.531
623,30.809
624,31.800
625,32.556
626,32.929
627,32.405
628,32.578
629,33.345
630,34.334
631,33.816
632,32.358
633,30.200
634,27.686
635,27.749
636,29.297
637,29.804
638,28.030
639,27.825
640,26.903
641,25.000
642,25.000
643,26.542
644,26.641
645,26.042
646,25.654
647,25.647
648,25.667
649,25.786
650,26.055
651,25.906
652,25.916
653,26.362
654,27.000
655,26.984
656,26.204
657,26.443
658,26.965
659,26.021
660,24.498
661,24.672
662,24.667
663,24.389
664,26.002
665,25.539
666,24.130
667,23.492
668,22.920
669,22.268
670,22.994
671,22.725
672,23.470
673,22.922
674,22.442
675,22.700
676,23.344
677,23.881
678,23.831
679,23.117
680,23.897
681,22.058
682,21.781
683,22.769
684,23.196
685,21.587
686,20.631
687,22.047
688,23.408
689,23.264
690,22.356
691,22.057
692,22.138
693,21.774
694,21.284
695,21.000
696,21.000
697,21.040
698,24.099
699,24.460
700,24.000
701,24.000
702,23.710
703,23.254
704,22.873
705,23.419
706,23.928
707,24.657
708,24.826
709,24.823
710,24.020
711,23.456
712,23.814
713,24.184
714,25.165
715,24.520
716,24.086
717,23.336
718,22.893
719,23.501
720,23.645
721,22.744
722,22.256
723,23.786
724,24.856
725,25.151
726,23.825
727,23.458
728,24.241
729,24.927
730,24.421
731,23.688
732,25.217
733,25.253
734,24.913
735,25.033
736,25.848
737,26.259
738,26.132
739,26.544
740,28.183
741,28.903
742,28.048
743,27.099
744,26.406
745,25.953
746,24.944
747,24.656
748,25.011
749,25.776
750,26.520
751,26.328
752,26.052
753,25.166
754,24.979
755,26.868
756,29.072
757,30.399
758,30.706
759,31.936
760,31.918
761,31.837
762,30.866
763,29.891
764,29.067
765,29.670
766,29.925
767,31.558
768,32.890
769,32.751
770,33.794
771,35.018
772,36.908
773,36.975
774,36.811
775,36.623
776,36.926
777,38.550
778,40.015
779,41.582
780,41.851
781,42.503
782,44.316
783,41.499
784,41.415
785,42.907
786,44.404
787,44.952
788,45.072
789,45.192
790,45.233
791,44.804
792,43.649
793,41.037
794,39.278
795,40.541
796,40.441
797,42.286
798,43.989
799,45.606
800,44.757
801,44.396
802,45.758
803,47.192
804,45.019
805,41.298
806,40.040
807,39.522
808,39.817
809,40.073
810,38.809
811,38.374
812,38.058
813,37.891
814,38.854
815,38.843
816,36.318
817,35.298
818,35.045
819,35.695
820,37.260
821,36.235
822,35.976
823,36.032
824,36.734
825,38.527
826,39.117
827,38.762
828,37.312
829,36.141
830,34.484
831,32.709
832,29.792
833,26.781
834,24.074
835,22.251
836,20.820
837,21.000
838,21.000
839,20.123
840,18.762
841,18.725
842,16.175
843,16.652
844,16.485
845,16.043
846,17.287
847,19.330
848,17.955
849,17.198
850,18.343
851,18.131
852,16.156
853,16.317
854,17.703
855,17.561
856,18.518
857,18.405
858,17.681
859,16.210
860,16.175
861,17.295
862,17.958
863,17.094
864,16.613
865,18.771
866,21.009
867,20.601
868,20.711
869,21.471
870,21.266
871,21.467
872,21.667
873,23.296
874,23.887
875,23.416
876,23.267
877,24.809
878,27.576
879,28.512
880,29.891
881,33.344
882,37.647
883,40.124
884,41.388
885,44.912
886,48.897
887,51.708
888,52.521
889,52.220
890,54.376
891,55.976
892,56.314
893,54.905
894,53.553
895,53.900
896,54.793
897,55.192
898,55.121
899,56.277
900,56.967
901,57.017
902,58.037
903,59.418
904,60.134
905,59.891
906,60.110
907,59.741
908,59.935
909,60.883
910,62.458
911,62.606
912,62.997
913,63.856
914,64.557
915,63.955
916,63.492
917,63.083
918,61.675
919,59.912
920,58.501
921,57.612
922,55.518
923,53.643
924,52.758
925,52.215
926,51.277
927,50.572
928,48.942
929,46.247
930,43.494
931,41.705
932,38.509
933,36.842
934,35.850
935,33.925
936,33.667
937,34.150
938,32.797
939,29.718
940,29.481
941,31.588
942,32.078
943,31.151
944,34.082
945,33.968
946,31.512
947,29.536
948,28.354
949,28.333
950,27.682
951,28.093
952,29.667
953,29.554
954,29.384
955,28.534
956,26.887
957,25.007
958,24.667
959,24.975
960,26.310
961,27.025
962,28.329
963,30.032
964,30.779
965,29.806
966,29.705
967,30.877
968,32.675
969,35.009
970,35.590
971,37.181
972,39.017
973,40.173
974,41.446
975,43.604
976,45.679
977,48.337
978,52.515
979,56.915
980,60.786
981,63.570
982,65.180
983,66.641
984,68.121
985,70.568
986,74.601
987,75.727
988,75.586
989,75.602
990,77.283
991,80.244
992,81.539
993,81.832
994,81.759
995,83.140
996,85.403
997,87.133
998,87.425
999,86.264
1000,87.529
1001,90.102
1002,92.388
1003,91.473
1004,89.594
1005,90.983
1006,92.698
1007,95.245
1008,93.635
1009,92.745
1010,91.088
1011,90.333
1012,90.810
1013,93.058
1014,91.657
1015,90.851
1016,91.384
1017,91.217
1018,90.446
1019,89.189
1020,90.059
1021,90.695
1022,92.121
1023,92.341
1024,91.596
1025,89.663
1026,92.314
1027,94.277
1028,93.829
1029,91.465
1030,89.916
1031,89.975
1032,90.711
1033,94.238
1034,94.941
1035,94.447
1036,92.721
1037,92.011
1038,91.896
1039,90.005
1040,88.882
1041,89.047
1042,89.657
1043,88.959
1044,89.186
1045,87.164
1046,81.281
1047,78.574
1048,77.509
1049,76.150
1050,74.004
1051,73.028
1052,71.977
1053,69.489
1054,66.944
1055,64.385
1056,64.019
1057,62.255
1058,59.833
1059,56.767
1060,52.869
1061,47.873
1062,43.322
1063,40.062
1064,39.121
1065,39.080
1066,39.634
1067,39.628
1068,39.300
1069,38.868
1070,40.356
1071,41.510
1072,41.985
1073,43.368
1074,45.434
1075,46.964
1076,47.597
1077,48.901
1078,49.756
1079,50.353
1080,51.643
1081,54.509
1082,56.832
1083,58.822
1084,61.360
1085,63.166
1086,64.101
1087,65.483
1088,67.879
1089,68.336
1090,69.362
1091,70.357
1092,71.426
1093,73.695
1094,75.890
1095,78.551
1096,81.427
1097,83.893
1098,85.528
1099,87.332
1100,88.052
1101,89.226
1102,90.689
1103,92.743
1104,94.226
1105,95.688
1106,97.622
1107,100.256
1108,102.557
1109,103.333
1110,104.615
1111,105.626
1112,106.701
1113,108.031
1114,109.501
1115,111.702
1116,112.557
1117,112.414
1118,111.108
1119,107.463
1120,106.474
1121,107.303
1122,108.157
1123,108.762
1124,109.005
1125,108.679
1126,108.617
1127,107.762
1128,106.613
1129,106.432
1130,107.844
1131,107.835
1132,107.289
1133,106.948
1134,106.171
1135,105.209
1136,105.710
1137,104.536
1138,102.575
1139,100.969
1140,102.849
1141,103.636
1142,102.368
1143,98.796
1144,95.917
1145,97.404
1146,96.509
1147,92.683
1148,88.883
1149,86.213
1150,84.403
1151,82.543
1152,82.456
1153,79.644
1154,76.773
1155,73.880
1156,69.828
1157,64.954
1158,61.284
1159,58.742
1160,58.881
1161,59.487
1162,59.548
1163,59.199
1164,59.333
1165,59.333
1166,59.776
1167,60.227
1168,60.382
1169,61.685
1170,64.280
1171,65.901
1172,67.713
1173,70.703
1174,75.464
1175,79.905
1176,83.344
1177,86.517
1178,89.433
1179,92.859
1180,94.298
1181,95.377
1182,96.167
1183,98.524
1184,101.999
1185,104.412
1186,106.436
1187,110.870
1188,114.403
1189,116.427
1190,117.264
1191,117.667
1192,118.913
1193,120.933
1194,122.527
1195,124.441
1196,123.802
1197,122.760
1198,123.016
1199,124.371
1200,132.322
1201,145.913
1202,157.593
1203,166.509
1204,168.584
1205,167.916
1206,167.805
1207,169.483
1208,169.212
1209,169.655
1210,170.487
1211,172.168
1212,176.619
1213,178.634
1214,181.776
1215,185.892
1216,189.549
1217,194.121
1218,198.852
1219,201.477
1220,204.602
1221,207.741
1222,210.609
1223,213.428
1224,213.786
1225,215.571
1226,218.180
1227,220.526
1228,221.743
1229,221.607
1230,221.582
1231,219.871
1232,217.383
1233,216.197
1234,214.834
1235,214.726
1236,214.072
1237,212.299
1238,211.408
1239,211.842
1240,211.093
1241,208.947
1242,207.277
1243,204.982
1244,203.188
1245,202.725
1246,203.248
1247,203.765
1248,201.254
1249,195.406
1250,191.648
1251,191.443
1252,192.115
1253,192.734
1254,193.900
1255,198.122
1256,198.778
1257,198.375
1258,195.671
1259,189.740
1260,181.793
1261,171.373
1262,160.843
1263,151.250
1264,145.523
1265,144.167
1266,145.489
1267,139.423
1268,134.372
1269,129.207
1270,123.294
1271,116.844
1272,113.359
1273,112.068
1274,111.349
1275,110.354
1276,110.465
1277,110.223
1278,111.084
1279,112.153
1280,112.073
1281,113.480
1282,115.036
1283,117.656
1284,121.551
1285,121.150
1286,118.609
1287,118.078
1288,118.181
1289,113.680
1290,118.536
1291,137.837
1292,161.272
1293,184.246
1294,204.812
1295,214.060
1296,217.868
1297,223.111
1298,226.876
1299,229.092
1300,231.381
1301,234.611
1302,237.989
1303,240.389
1304,245.233
1305,249.638
1306,251.856
1307,253.010
1308,253.665
1309,253.681
1310,254.417
1311,254.356
1312,254.333
1313,254.130
1314,254.197
1315,254.333
1316,254.180
1317,253.735
1318,254.879
1319,255.000
1320,255.000
1321,255.000
1322,255.000
1323,254.517
1324,254.333
1325,254.333
1326,254.333
1327,254.333
1328,254.699
1329,254.499
1330,254.385
1331,254.895
1332,255.000
1333,255.000
1334,255.000
1335,255.000
1336,255.000
1337,255.000
1338,254.869
1339,254.978
1340,255.000
1341,254.640
1342,254.911
1343,254.981
1344,254.372
1345,254.381
1346,254.649
1347,255.000
1348,255.000
1349,254.595
1350,254.378
1351,254.807
1352,255.000
1353,255.000
1354,255.000
1355,255.000
1356,255.000
1357,255.000
1358,254.778
1359,254.354
1360,255.000
1361,255.000
1362,254.451
1363,254.000
1364,254.079
1365,254.843
1366,255.000
1367,255.000
1368,255.000
1369,254.688
1370,254.681
1371,255.000
1372,255.000
1373,255.000
1374,255.000
1375,255.000
1376,255.000
1377,254.993
1378,254.714
1379,254.667
1380,254.667
1381,254.667
1382,254.667
1383,254.667
1384,254.667
1385,254.875
1386,255.000
1387,255.000
1388,255.000
1389,255.000
1390,255.000
1391,255.000
1392,254.931
1393,255.000
1394,255.000
1395,255.000
1396,255.000
1397,255.000
1398,254.921
1399,254.702
1400,254.391
1401,254.373
1402,255.000
1403,254.978
1404,255.000
1405,255.000
1406,255.000
1407,255.000
1408,255.000
1409,254.969
1410,254.755
1411,254.639
1412,253.639
1413,254.003
1414,254.333
1415,254.333
1416,254.333
1417,254.739
1418,255.000
1419,254.862
1420,254.261
1421,254.826
1422,254.797
1423,254.000
1424,254.000
1425,254.404
1426,255.000
1427,254.915
1428,254.770
1429,254.984
1430,255.000
1431,255.000
1432,254.920
1433,254.628
1434,255.000
1435,255.000
1436,254.507
1437,254.000
1438,254.668
1439,255.000
1440,255.000
1441,255.000
1442,255.000
1443,255.000
1444,255.000
1445,255.000
1446,255.000
1447,254.450
1448,253.790
1449,253.413
1450,254.033
1451,254.000
1452,254.000
1453,254.205
1454,254.032
1455,254.000
1456,254.433
1457,255.000
1458,255.000
1459,255.000
1460,255.000
1461,254.845
1462,254.000
1463,254.000
1464,254.551
1465,254.742
1466,254.842
1467,255.000
1468,255.000
1469,255.000
1470,255.000
1471,255.000
1472,254.332
1473,254.000
1474,254.198
1475,254.986
1476,254.818
1477,254.689
1478,255.000
1479,254.994
1480,254.961
1481,254.835
1482,254.667
1483,254.667
1484,254.810
1485,254.435
1486,254.718
1487,254.699
1488,254.333
1489,254.333
1490,253.831
1491,254.333
1492,253.936
1493,252.169
1494,249.574
1495,248.568
1496,247.524
1497,244.933
1498,242.341
1499,238.958
1500,233.569
1501,229.741
1502,226.647
1503,225.715
1504,223.577
1505,222.368
1506,218.497
1507,210.151
1508,196.772
1509,182.193
1510,168.000
1511,150.590
1512,134.206
1513,122.820
1514,122.465
1515,120.295
1516,118.963
1517,120.854
1518,119.785
1519,118.375
1520,116.864
1521,115.803
1522,115.089
1523,116.550
1524,117.382
1525,114.022
1526,110.186
1527,108.767
1528,106.108
1529,105.236
1530,104.877
1531,106.113
1532,107.229
1533,108.926
1534,110.864
1535,112.298
1536,113.493
1537,116.041
1538,114.697
1539,113.782
1540,114.078
1541,116.634
1542,119.736
1543,122.126
1544,122.432
1545,122.814
1546,123.252
1547,123.240
1548,122.033
1549,125.381
1550,127.053
1551,130.420
1552,131.027
1553,134.195
1554,137.929
1555,141.284
1556,142.084
1557,138.867
1558,136.080
1559,132.826
1560,134.826
1561,139.558
1562,144.183
1563,147.096
