Temps___(ms):,	Pos.cal.(um):,	Tension_(mV):	
 6.8894028E+7,	-4.2016103E+0,	 1.9983390E+2	
 6.8894168E+7,	-4.1914860E+0,	 1.9982168E+2	
 6.8894308E+7,	-4.1813616E+0,	 1.9978750E+2	
 6.8894448E+7,	-4.1712372E+0,	 1.9990230E+2	
 6.8894588E+7,	-4.1611129E+0,	 1.9984856E+2	
 6.8894728E+7,	-4.1509885E+0,	 1.9996092E+2	
 6.8894868E+7,	-4.1408642E+0,	 2.0006351E+2	
 6.8895008E+7,	-4.1307398E+0,	 1.9991939E+2	
 6.8895148E+7,	-4.1206154E+0,	 2.0010014E+2	
 6.8895288E+7,	-4.1104911E+0,	 2.0007083E+2	
 6.8895428E+7,	-4.1003667E+0,	 2.0012213E+2	
 6.8895568E+7,	-4.0902423E+0,	 2.0017342E+2	
 6.8895708E+7,	-4.0801180E+0,	 2.0014167E+2	
 6.8895848E+7,	-4.0699936E+0,	 2.0022471E+2	
 6.8895988E+7,	-4.0598693E+0,	 2.0014900E+2	
 6.8896128E+7,	-4.0497449E+0,	 2.0022471E+2	
 6.8896268E+7,	-4.0396205E+0,	 2.0033464E+2	
 6.8896408E+7,	-4.0294962E+0,	 2.0021738E+2	
 6.8896548E+7,	-4.0193718E+0,	 2.0022960E+2	
 6.8896688E+7,	-4.0092474E+0,	 2.0023938E+2	
 6.8896828E+7,	-3.9991231E+0,	 2.0023204E+2	
 6.8896968E+7,	-3.9889987E+0,	 2.0019296E+2	
 6.8897108E+7,	-3.9788744E+0,	 2.0014167E+2	
 6.8897248E+7,	-3.9687500E+0,	 2.0020273E+2	
 6.8897388E+7,	-3.9586256E+0,	 2.0011236E+2	
 6.8897528E+7,	-3.9485013E+0,	 1.9998778E+2	
 6.8897668E+7,	-3.9383769E+0,	 1.9993894E+2	
 6.8897808E+7,	-3.9282526E+0,	 1.9979481E+2	
 6.8897948E+7,	-3.9181282E+0,	 1.9988519E+2	
 6.8898088E+7,	-3.9080038E+0,	 1.9980459E+2	
 6.8898228E+7,	-3.8978795E+0,	 1.9976550E+2	
 6.8898368E+7,	-3.8877551E+0,	 1.9976795E+2	
 6.8898508E+7,	-3.8776307E+0,	 1.9959697E+2	
 6.8898648E+7,	-3.8675064E+0,	 1.9961651E+2	
 6.8898788E+7,	-3.8573820E+0,	 1.9965315E+2	
 6.8898928E+7,	-3.8472577E+0,	 1.9959697E+2	
 6.8899068E+7,	-3.8371333E+0,	 1.9971177E+2	
 6.8899208E+7,	-3.8270089E+0,	 1.9963606E+2	
 6.8899348E+7,	-3.8168846E+0,	 1.9960430E+2	
 6.8899488E+7,	-3.8067602E+0,	 1.9953102E+2	
 6.8899628E+7,	-3.7966358E+0,	 1.9953346E+2	
 6.8899768E+7,	-3.7865115E+0,	 1.9958231E+2	
 6.8899908E+7,	-3.7763871E+0,	 1.9953835E+2	
 6.8900048E+7,	-3.7662628E+0,	 1.9960430E+2	
 6.8900188E+7,	-3.7561384E+0,	 1.9948705E+2	
 6.8900328E+7,	-3.7460140E+0,	 1.9951393E+2	
 6.8900468E+7,	-3.7358897E+0,	 1.9968735E+2	
 6.8900608E+7,	-3.7257653E+0,	 1.9966780E+2	
 6.8900748E+7,	-3.7156409E+0,	 1.9982901E+2	
 6.8900888E+7,	-3.7055166E+0,	 1.9980948E+2	
 6.8901028E+7,	-3.6953922E+0,	 1.9979481E+2	
 6.8901168E+7,	-3.6852679E+0,	 1.9990963E+2	
 6.8901308E+7,	-3.6751435E+0,	 1.9994381E+2	
 6.8901448E+7,	-3.6650191E+0,	 1.9989741E+2	
 6.8901588E+7,	-3.6548948E+0,	 2.0004885E+2	
 6.8901728E+7,	-3.6447704E+0,	 2.0012458E+2	
 6.8901868E+7,	-3.6346460E+0,	 2.0014900E+2	
 6.8902008E+7,	-3.6245217E+0,	 2.0026624E+2	
 6.8902148E+7,	-3.6143973E+0,	 2.0030533E+2	
 6.8902288E+7,	-3.6042730E+0,	 2.0034195E+2	
 6.8902428E+7,	-3.5941486E+0,	 2.0031264E+2	
 6.8902568E+7,	-3.5840242E+0,	 2.0038837E+2	
 6.8902708E+7,	-3.5738999E+0,	 2.0029067E+2	
 6.8902848E+7,	-3.5637755E+0,	 2.0033464E+2	
 6.8902988E+7,	-3.5536511E+0,	 2.0034929E+2	
 6.8903128E+7,	-3.5435268E+0,	 2.0039570E+2	
 6.8903268E+7,	-3.5334024E+0,	 2.0053248E+2	
 6.8903408E+7,	-3.5232781E+0,	 2.0041035E+2	
 6.8903548E+7,	-3.5131537E+0,	 2.0042746E+2	
 6.8903688E+7,	-3.5030293E+0,	 2.0035662E+2	
 6.8903828E+7,	-3.4929050E+0,	 2.0037860E+2	
 6.8903968E+7,	-3.4827806E+0,	 2.0032486E+2	
 6.8904108E+7,	-3.4726562E+0,	 2.0031264E+2	
 6.8904248E+7,	-3.4625319E+0,	 2.0031020E+2	
 6.8904388E+7,	-3.4524075E+0,	 2.0033464E+2	
 6.8904528E+7,	-3.4422832E+0,	 2.0031020E+2	
 6.8904668E+7,	-3.4321588E+0,	 2.0019051E+2	
 6.8904808E+7,	-3.4220344E+0,	 2.0004641E+2	
 6.8904948E+7,	-3.4119101E+0,	 1.9995114E+2	
 6.8905088E+7,	-3.4017857E+0,	 1.9988032E+2	
 6.8905228E+7,	-3.3916614E+0,	 1.9982901E+2	
 6.8905368E+7,	-3.3815370E+0,	 1.9974597E+2	
 6.8905508E+7,	-3.3714126E+0,	 1.9966537E+2	
 6.8905648E+7,	-3.3612883E+0,	 1.9974841E+2	
 6.8905788E+7,	-3.3511639E+0,	 1.9960430E+2	
 6.8905928E+7,	-3.3410395E+0,	 1.9957010E+2	
 6.8906068E+7,	-3.3309152E+0,	 1.9963849E+2	
 6.8906208E+7,	-3.3207908E+0,	 1.9959453E+2	
 6.8906348E+7,	-3.3106665E+0,	 1.9953102E+2	
