Temps___(ms):,	Pos.cal.(um):,	Tension_(mV):	
 7.2675910E+7,	-4.6456649E+2,	 5.9413528E+2	
 7.2676050E+7,	-4.6406027E+2,	 5.9659255E+2	
 7.2676190E+7,	-4.6355405E+2,	 5.7729846E+2	
 7.2676330E+7,	-4.6304783E+2,	 5.4374695E+2	
 7.2676470E+7,	-4.6254161E+2,	 5.4708111E+2	
 7.2676610E+7,	-4.6203540E+2,	 5.6560576E+2	
 7.2676750E+7,	-4.6152918E+2,	 5.4482901E+2	
 7.2676890E+7,	-4.6102296E+2,	 5.5930382E+2	
 7.2677030E+7,	-4.6051674E+2,	 5.8651930E+2	
 7.2677170E+7,	-4.6001052E+2,	 5.6342453E+2	
 7.2677310E+7,	-4.5950430E+2,	 5.5396432E+2	
 7.2677450E+7,	-4.5899809E+2,	 5.7014656E+2	
 7.2677590E+7,	-4.5849187E+2,	 5.5796039E+2	
 7.2677730E+7,	-4.5798565E+2,	 5.4626036E+2	
 7.2677870E+7,	-4.5747943E+2,	 5.6540060E+2	
 7.2678010E+7,	-4.5697321E+2,	 5.5057156E+2	
 7.2678150E+7,	-4.5646700E+2,	 5.3694427E+2	
 7.2678290E+7,	-4.5596078E+2,	 5.3635317E+2	
 7.2678430E+7,	-4.5545456E+2,	 5.4263800E+2	
 7.2678570E+7,	-4.5494834E+2,	 5.6007326E+2	
 7.2678710E+7,	-4.5444212E+2,	 5.6569856E+2	
 7.2678850E+7,	-4.5393591E+2,	 5.4945284E+2	
 7.2678990E+7,	-4.5342969E+2,	 5.5471176E+2	
 7.2679130E+7,	-4.5292347E+2,	 5.6653637E+2	
 7.2679270E+7,	-4.5241725E+2,	 5.6122130E+2	
 7.2679410E+7,	-4.5191103E+2,	 5.7300192E+2	
 7.2679550E+7,	-4.5140482E+2,	 5.6631410E+2	
 7.2679690E+7,	-4.5089860E+2,	 5.7081336E+2	
 7.2679830E+7,	-4.5039238E+2,	 5.7216412E+2	
 7.2679970E+7,	-4.4988616E+2,	 5.5720568E+2	
 7.2680110E+7,	-4.4937994E+2,	 5.5964583E+2	
 7.2680250E+7,	-4.4887372E+2,	 5.5335611E+2	
 7.2680390E+7,	-4.4836751E+2,	 5.5189300E+2	
 7.2680530E+7,	-4.4786129E+2,	 5.4676598E+2	
 7.2680670E+7,	-4.4735507E+2,	 5.5886418E+2	
 7.2680810E+7,	-4.4684885E+2,	 5.6074989E+2	
 7.2680950E+7,	-4.4634263E+2,	 5.6996578E+2	
 7.2681090E+7,	-4.4583642E+2,	 5.6690764E+2	
 7.2681230E+7,	-4.4533020E+2,	 5.7128477E+2	
 7.2681370E+7,	-4.4482398E+2,	 5.7914507E+2	
 7.2681510E+7,	-4.4431776E+2,	 5.7272840E+2	
 7.2681650E+7,	-4.4381154E+2,	 5.5638492E+2	
 7.2681790E+7,	-4.4330533E+2,	 5.6093061E+2	
 7.2681930E+7,	-4.4279911E+2,	 5.6321198E+2	
 7.2682070E+7,	-4.4229289E+2,	 5.6655103E+2	
 7.2682210E+7,	-4.4178667E+2,	 5.6163895E+2	
 7.2682350E+7,	-4.4128045E+2,	 5.4656816E+2	
 7.2682490E+7,	-4.4077423E+2,	 5.4593796E+2	
 7.2682630E+7,	-4.4026802E+2,	 5.6819248E+2	
 7.2682770E+7,	-4.3976180E+2,	 5.8786762E+2	
 7.2682910E+7,	-4.3925558E+2,	 5.6556422E+2	
 7.2683050E+7,	-4.3874936E+2,	 5.4114068E+2	
 7.2683190E+7,	-4.3824314E+2,	 5.5497801E+2	
