Temps___(ms):,	Pos.cal.(um):,	 Tension_(mV):	
 7.0472982E+7,	-1.0438217E+1,	 1.3150806E+3	
 7.0473062E+7,	-1.0387596E+1,	 1.3134637E+3	
 7.0473142E+7,	-1.0336974E+1,	 1.3144163E+3	
 7.0473222E+7,	-1.0286352E+1,	 1.3164144E+3	
 7.0473302E+7,	-1.0235730E+1,	 1.3180948E+3	
 7.0473382E+7,	-1.0185108E+1,	 1.3180264E+3	
 7.0473462E+7,	-1.0134487E+1,	 1.3155789E+3	
 7.0473542E+7,	-1.0083865E+1,	 1.3133757E+3	
 7.0473622E+7,	-1.0033243E+1,	 1.3137714E+3	
 7.0473702E+7,	-9.9826212E+0,	 1.3155105E+3	
 7.0473782E+7,	-9.9319994E+0,	 1.3176357E+3	
 7.0473862E+7,	-9.8813776E+0,	 1.3189057E+3	
 7.0473942E+7,	-9.8307557E+0,	 1.3170054E+3	
 7.0474022E+7,	-9.7801339E+0,	 1.3140889E+3	
 7.0474102E+7,	-9.7295121E+0,	 1.3130581E+3	
 7.0474182E+7,	-9.6788903E+0,	 1.3141329E+3	
 7.0474262E+7,	-9.6282685E+0,	 1.3164729E+3	
 7.0474342E+7,	-9.5776467E+0,	 1.3187934E+3	
 7.0474422E+7,	-9.5270249E+0,	 1.3196532E+3	
 7.0474502E+7,	-9.4764031E+0,	 1.3181291E+3	
 7.0474582E+7,	-9.4257812E+0,	 1.3155594E+3	
 7.0474662E+7,	-9.3751594E+0,	 1.3135271E+3	
 7.0474742E+7,	-9.3245376E+0,	 1.3128334E+3	
 7.0474822E+7,	-9.2739158E+0,	 1.3139229E+3	
 7.0474902E+7,	-9.2232940E+0,	 1.3169956E+3	
 7.0474982E+7,	-9.1726722E+0,	 1.3189008E+3	
 7.0475062E+7,	-9.1220504E+0,	 1.3172252E+3	
 7.0475142E+7,	-9.0714286E+0,	 1.3139864E+3	
 7.0475222E+7,	-9.0208068E+0,	 1.3128628E+3	
 7.0475302E+7,	-8.9701849E+0,	 1.3147337E+3	
 7.0475382E+7,	-8.9195631E+0,	 1.3183000E+3	
 7.0475462E+7,	-8.8689413E+0,	 1.3189106E+3	
 7.0475542E+7,	-8.8183195E+0,	 1.3161945E+3	
 7.0475622E+7,	-8.7676977E+0,	 1.3133073E+3	
 7.0475702E+7,	-8.7170759E+0,	 1.3125794E+3	
 7.0475782E+7,	-8.6664541E+0,	 1.3132439E+3	
 7.0475862E+7,	-8.6158323E+0,	 1.3165218E+3	
 7.0475942E+7,	-8.5652105E+0,	 1.3195066E+3	
 7.0476022E+7,	-8.5145886E+0,	 1.3179433E+3	
 7.0476102E+7,	-8.4639668E+0,	 1.3143479E+3	
 7.0476185E+7,	-8.4133450E+0,	 1.3124573E+3	
 7.0476265E+7,	-8.3627232E+0,	 1.3124133E+3	
 7.0476345E+7,	-8.3121014E+0,	 1.3150318E+3	
 7.0476425E+7,	-8.2614796E+0,	 1.3186371E+3	
 7.0476505E+7,	-8.2108578E+0,	 1.3204446E+3	
 7.0476585E+7,	-8.1602360E+0,	 1.3189839E+3	
 7.0476665E+7,	-8.1096142E+0,	 1.3156034E+3	
 7.0476745E+7,	-8.0589923E+0,	 1.3129654E+3	
 7.0476825E+7,	-8.0083705E+0,	 1.3122180E+3	
 7.0476905E+7,	-7.9577487E+0,	 1.3133855E+3	
 7.0476985E+7,	-7.9071269E+0,	 1.3173670E+3	
 7.0477065E+7,	-7.8565051E+0,	 1.3201661E+3	
 7.0477145E+7,	-7.8058833E+0,	 1.3181827E+3	
 7.0477225E+7,	-7.7552615E+0,	 1.3138838E+3	
 7.0477305E+7,	-7.7046397E+0,	 1.3122522E+3	
 7.0477385E+7,	-7.6540179E+0,	 1.3134832E+3	
 7.0477465E+7,	-7.6033960E+0,	 1.3178164E+3	
