Temps___(ms):,	Pos.cal.(um):,	Tension_(mV):	
 7.2378774E+7,	-4.1307398E+0,	 5.7176596E+2	
 7.2378914E+7,	-4.1206154E+0,	 5.4244500E+2	
 7.2379054E+7,	-4.1104911E+0,	 5.1493895E+2	
 7.2379194E+7,	-4.1003667E+0,	 4.8135319E+2	
 7.2379334E+7,	-4.0902423E+0,	 4.5085248E+2	
 7.2379474E+7,	-4.0801180E+0,	 4.1814607E+2	
 7.2379616E+7,	-4.0699936E+0,	 3.9371276E+2	
 7.2379756E+7,	-4.0598693E+0,	 3.8033465E+2	
 7.2379896E+7,	-4.0497449E+0,	 3.8527846E+2	
 7.2380036E+7,	-4.0396205E+0,	 4.0955544E+2	
 7.2380176E+7,	-4.0294962E+0,	 4.4328773E+2	
 7.2380316E+7,	-4.0193718E+0,	 4.8129213E+2	
 7.2380456E+7,	-4.0092474E+0,	 5.1959211E+2	
 7.2380596E+7,	-3.9991231E+0,	 5.4788715E+2	
 7.2380736E+7,	-3.9889987E+0,	 5.7966781E+2	
 7.2380876E+7,	-3.9788744E+0,	 6.2451148E+2	
 7.2381016E+7,	-3.9687500E+0,	 6.6157305E+2	
 7.2381156E+7,	-3.9586256E+0,	 6.9248414E+2	
 7.2381296E+7,	-3.9485013E+0,	 7.1814853E+2	
 7.2381436E+7,	-3.9383769E+0,	 7.3186374E+2	
 7.2381576E+7,	-3.9282526E+0,	 7.2834390E+2	
 7.2381716E+7,	-3.9181282E+0,	 7.1531266E+2	
 7.2381856E+7,	-3.9080038E+0,	 6.9057649E+2	
 7.2381996E+7,	-3.8978795E+0,	 6.6753542E+2	
 7.2382136E+7,	-3.8877551E+0,	 6.1731070E+2	
 7.2382276E+7,	-3.8776307E+0,	 5.6085491E+2	
 7.2382416E+7,	-3.8675064E+0,	 5.2670246E+2	
 7.2382556E+7,	-3.8573820E+0,	 4.8973376E+2	
 7.2382697E+7,	-3.8472577E+0,	 4.5558622E+2	
 7.2382837E+7,	-3.8371333E+0,	 4.1774547E+2	
 7.2382977E+7,	-3.8270089E+0,	 3.8531753E+2	
 7.2383117E+7,	-3.8168846E+0,	 3.6763802E+2	
 7.2383257E+7,	-3.8067602E+0,	 3.6436248E+2	
 7.2383397E+7,	-3.7966358E+0,	 3.6933807E+2	
 7.2383537E+7,	-3.7865115E+0,	 3.8446507E+2	
 7.2383677E+7,	-3.7763871E+0,	 4.0113091E+2	
 7.2383817E+7,	-3.7662628E+0,	 4.2466047E+2	
 7.2383962E+7,	-3.7561384E+0,	 4.5800683E+2	
 7.2384102E+7,	-3.7460140E+0,	 4.9907181E+2	
 7.2384243E+7,	-3.7358897E+0,	 5.5385929E+2	
 7.2384384E+7,	-3.7257653E+0,	 6.1965317E+2	
 7.2384524E+7,	-3.7156409E+0,	 6.7877871E+2	
 7.2384664E+7,	-3.7055166E+0,	 7.2175378E+2	
 7.2384804E+7,	-3.6953922E+0,	 7.5925499E+2	
 7.2384944E+7,	-3.6852679E+0,	 7.7753055E+2	
 7.2385084E+7,	-3.6751435E+0,	 7.8022957E+2	
 7.2385224E+7,	-3.6650191E+0,	 7.6823401E+2	
 7.2385364E+7,	-3.6548948E+0,	 7.4806303E+2	
 7.2385504E+7,	-3.6447704E+0,	 7.2452861E+2	
 7.2385649E+7,	-3.6346460E+0,	 7.0101613E+2	
 7.2385789E+7,	-3.6245217E+0,	 6.7448461E+2	
 7.2385929E+7,	-3.6143973E+0,	 6.3276017E+2	
 7.2386069E+7,	-3.6042730E+0,	 5.9119928E+2	
 7.2386209E+7,	-3.5941486E+0,	 5.6303370E+2	
 7.2386349E+7,	-3.5840242E+0,	 5.3265512E+2	
 7.2386489E+7,	-3.5738999E+0,	 5.0385928E+2	
 7.2386629E+7,	-3.5637755E+0,	 4.7447729E+2	
 7.2386769E+7,	-3.5536511E+0,	 4.4600391E+2	
 7.2386909E+7,	-3.5435268E+0,	 4.1948462E+2	
 7.2387049E+7,	-3.5334024E+0,	 3.9258915E+2	
 7.2387189E+7,	-3.5232781E+0,	 3.6899120E+2	
 7.2387329E+7,	-3.5131537E+0,	 3.4449926E+2	
 7.2387469E+7,	-3.5030293E+0,	 3.2687104E+2	
 7.2387609E+7,	-3.4929050E+0,	 3.2029802E+2	
 7.2387749E+7,	-3.4827806E+0,	 3.2523695E+2	
 7.2387894E+7,	-3.4726562E+0,	 3.4073034E+2	
 7.2388034E+7,	-3.4625319E+0,	 3.6547142E+2	
 7.2388174E+7,	-3.4524075E+0,	 4.0175867E+2	
 7.2388314E+7,	-3.4422832E+0,	 4.4682217E+2	
 7.2388454E+7,	-3.4321588E+0,	 4.9257207E+2	
 7.2388594E+7,	-3.4220344E+0,	 5.4534197E+2	
 7.2388734E+7,	-3.4119101E+0,	 5.9429651E+2	
 7.2388874E+7,	-3.4017857E+0,	 6.4601612E+2	
 7.2389016E+7,	-3.3916614E+0,	 7.0202005E+2	
 7.2389156E+7,	-3.3815370E+0,	 7.5139230E+2	
 7.2389296E+7,	-3.3714126E+0,	 7.7664876E+2	
 7.2389436E+7,	-3.3612883E+0,	 7.8877383E+2	
 7.2389576E+7,	-3.3511639E+0,	 7.9186124E+2	
 7.2389716E+7,	-3.3410395E+0,	 7.8740841E+2	
 7.2389856E+7,	-3.3309152E+0,	 7.7798730E+2	
 7.2389996E+7,	-3.3207908E+0,	 7.6216656E+2	
 7.2390136E+7,	-3.3106665E+0,	 7.4020272E+2	
 7.2390280E+7,	-3.3005421E+0,	 7.1283829E+2	
 7.2390420E+7,	-3.2904177E+0,	 6.8158036E+2	
 7.2390560E+7,	-3.2802934E+0,	 6.4367855E+2	
 7.2390703E+7,	-3.2701690E+0,	 6.0748899E+2	
 7.2390846E+7,	-3.2600446E+0,	 5.6850266E+2	
 7.2390989E+7,	-3.2499203E+0,	 5.3608942E+2	
 7.2391129E+7,	-3.2397959E+0,	 5.0400096E+2	
 7.2391269E+7,	-3.2296716E+0,	 4.7136787E+2	
 7.2391409E+7,	-3.2195472E+0,	 4.3988764E+2	
 7.2391549E+7,	-3.2094228E+0,	 4.1280654E+2	
 7.2391689E+7,	-3.1992985E+0,	 3.8985100E+2	
 7.2391829E+7,	-3.1891741E+0,	 3.6846605E+2	
 7.2391969E+7,	-3.1790497E+0,	 3.5369810E+2	
 7.2392113E+7,	-3.1689254E+0,	 3.4787738E+2	
 7.2392253E+7,	-3.1588010E+0,	 3.5145581E+2	
 7.2392393E+7,	-3.1486767E+0,	 3.5964826E+2	
 7.2392533E+7,	-3.1385523E+0,	 3.7220323E+2	
 7.2392673E+7,	-3.1284279E+0,	 3.8829261E+2	
 7.2392813E+7,	-3.1183036E+0,	 4.0053493E+2	
 7.2392953E+7,	-3.1081792E+0,	 4.2263556E+2	
 7.2393093E+7,	-3.0980548E+0,	 4.4928432E+2	
 7.2393238E+7,	-3.0879305E+0,	 4.8706889E+2	
 7.2393379E+7,	-3.0778061E+0,	 5.3116268E+2	
 7.2393523E+7,	-3.0676818E+0,	 5.6926721E+2	
 7.2393663E+7,	-3.0575574E+0,	 6.0645336E+2	
 7.2393808E+7,	-3.0474330E+0,	 6.4419883E+2	
