Temps___(ms):,	Pos.cal.(um):,	Tension_(mV):	
 7.5785834E+7,	-4.4820552E+1,	 9.2818759E+1	
 7.5785879E+7,	-4.4810427E+1,	 8.7933563E+1	
 7.5785924E+7,	-4.4800303E+1,	 8.7933563E+1	
 7.5785970E+7,	-4.4790179E+1,	 9.2818759E+1	
 7.5786015E+7,	-4.4780054E+1,	 1.1235955E+2	
 7.5786061E+7,	-4.4769930E+1,	 1.7586713E+2	
 7.5786106E+7,	-4.4759805E+1,	 2.4914509E+2	
 7.5786151E+7,	-4.4749681E+1,	 2.8334147E+2	
 7.5786197E+7,	-4.4739557E+1,	 3.3952126E+2	
 7.5786242E+7,	-4.4729432E+1,	 4.1279921E+2	
 7.5786288E+7,	-4.4719308E+1,	 4.7874939E+2	
 7.5786333E+7,	-4.4709184E+1,	 5.4225695E+2	
 7.5786379E+7,	-4.4699059E+1,	 5.9599411E+2	
 7.5786428E+7,	-4.4688935E+1,	 6.4240354E+2	
 7.5786474E+7,	-4.4678811E+1,	 7.1079630E+2	
 7.5786519E+7,	-4.4668686E+1,	 8.0361503E+2	
 7.5786564E+7,	-4.4658562E+1,	 8.4758180E+2	
 7.5786610E+7,	-4.4648437E+1,	 9.2574501E+2	
 7.5786655E+7,	-4.4638313E+1,	 9.7215438E+2	
 7.5786701E+7,	-4.4628189E+1,	 9.8925257E+2	
 7.5786746E+7,	-4.4618064E+1,	 1.0014656E+2	
 7.5786792E+7,	-4.4607940E+1,	 9.7948217E+2	
 7.5786837E+7,	-4.4597816E+1,	 9.5505619E+2	
 7.5786882E+7,	-4.4587691E+1,	 9.3307281E+2	
 7.5786927E+7,	-4.4577567E+1,	 8.7933564E+2	
 7.5786973E+7,	-4.4567443E+1,	 8.7200779E+2	
 7.5787018E+7,	-4.4557318E+1,	 7.6209086E+2	
 7.5787064E+7,	-4.4547194E+1,	 7.3277968E+2	
 7.5787109E+7,	-4.4537070E+1,	 6.2286270E+2	
 7.5787154E+7,	-4.4526945E+1,	 5.2760136E+2	
 7.5787200E+7,	-4.4516821E+1,	 4.3478259E+2	
 7.5787245E+7,	-4.4506696E+1,	 3.8593063E+2	
 7.5787291E+7,	-4.4496572E+1,	 3.0043966E+2	
 7.5787336E+7,	-4.4486448E+1,	 2.8822666E+2	
 7.5787381E+7,	-4.4476323E+1,	 3.3952126E+2	
 7.5787426E+7,	-4.4466199E+1,	 2.2716171E+2	
