Temps___(ms):, Pos.cal.(�m):, Tension_(mV):
 8.4283202E+7, -6.3540497E+1, 5.0550562E+2
 8.4283362E+7, -6.3489876E+1, 5.1171958E+2
 8.4283522E+7, -6.3439254E+1, 5.1194918E+2
 8.4283682E+7, -6.3388632E+1, 5.0446504E+2
 8.4283842E+7, -6.3338010E+1, 5.0383979E+2
 8.4284002E+7, -6.3287388E+1, 5.0792867E+2
 8.4284162E+7, -6.3236767E+1, 5.1364434E+2
 8.4284322E+7, -6.3186145E+1, 5.1380068E+2
 8.4284482E+7, -6.3135523E+1, 5.0445044E+2
 8.4284642E+7, -6.3084901E+1, 5.0185639E+2
 8.4284802E+7, -6.3034279E+1, 5.0974596E+2
 8.4284962E+7, -6.2983658E+1, 5.1385933E+2
 8.4285122E+7, -6.2933036E+1, 5.1477283E+2
 8.4285282E+7, -6.2882414E+1, 5.0505620E+2
 8.4285442E+7, -6.2831792E+1, 4.9919394E+2
 8.4285602E+7, -6.2781170E+1, 5.1189059E+2
 8.4285762E+7, -6.2730548E+1, 5.2011234E+2
 8.4285922E+7, -6.2679927E+1, 5.1584268E+2
 8.4286082E+7, -6.2629305E+1, 5.0138253E+2
 8.4286242E+7, -6.2578683E+1, 4.9898878E+2
 8.4286402E+7, -6.2528061E+1, 5.1219344E+2
 8.4286562E+7, -6.2477439E+1, 5.1888615E+2
 8.4286722E+7, -6.2426818E+1, 5.0989741E+2
 8.4286882E+7, -6.2376196E+1, 5.0213975E+2
 8.4287042E+7, -6.2325574E+1, 5.0084513E+2
 8.4287202E+7, -6.2274952E+1, 5.1216412E+2
 8.4287362E+7, -6.2224330E+1, 5.1756716E+2
 8.4287522E+7, -6.2173709E+1, 5.0910604E+2
 8.4287682E+7, -6.2123087E+1, 5.0180262E+2
 8.4287842E+7, -6.2072465E+1, 5.0154859E+2
 8.4288002E+7, -6.2021843E+1, 5.0884223E+2
 8.4288162E+7, -6.1971221E+1, 5.1124573E+2
 8.4288322E+7, -6.1920599E+1, 5.1051784E+2
 8.4288482E+7, -6.1869978E+1, 5.0268686E+2
 8.4288642E+7, -6.1819356E+1, 5.0770885E+2
 8.4288802E+7, -6.1768734E+1, 5.1504642E+2
 8.4288962E+7, -6.1718112E+1, 5.1349783E+2
 8.4289122E+7, -6.1667490E+1, 5.0794333E+2
 8.4289282E+7, -6.1616869E+1, 5.0494874E+2
 8.4289442E+7, -6.1566247E+1, 5.0762093E+2
 8.4289602E+7, -6.1515625E+1, 5.1100636E+2
 8.4289762E+7, -6.1465003E+1, 5.1188570E+2
 8.4289922E+7, -6.1414381E+1, 5.0989741E+2
 8.4290082E+7, -6.1363760E+1, 5.0242305E+2
 8.4290242E+7, -6.1313138E+1, 5.0469959E+2
 8.4290402E+7, -6.1262516E+1, 5.1297510E+2
 8.4290562E+7, -6.1211894E+1, 5.1410359E+2
 8.4290722E+7, -6.1161272E+1, 5.0387394E+2
 8.4290882E+7, -6.1110651E+1, 5.0137764E+2
 8.4291042E+7, -6.1060029E+1, 5.0642401E+2
 8.4291202E+7, -6.1009407E+1, 5.1418662E+2
 8.4291362E+7, -6.0958785E+1, 5.1365900E+2
 8.4291522E+7, -6.0908163E+1, 5.0306791E+2
 8.4291682E+7, -6.0857541E+1, 5.0152421E+2
 8.4291842E+7, -6.0806920E+1, 5.0587690E+2
 8.4292002E+7, -6.0756298E+1, 5.1551539E+2
 8.4292162E+7, -6.0705676E+1, 5.1520276E+2
 8.4292322E+7, -6.0655054E+1, 5.0553983E+2
 8.4292482E+7, -6.0604432E+1, 5.0067902E+2
 8.4292642E+7, -6.0553811E+1, 5.1016611E+2
 8.4292802E+7, -6.0503189E+1, 5.1598924E+2
 8.4292962E+7, -6.0452567E+1, 5.1638007E+2
 8.4293122E+7, -6.0401945E+1, 5.0626284E+2
 8.4293282E+7, -6.0351323E+1, 4.9882266E+2
 8.4293442E+7, -6.0300702E+1, 5.0917441E+2
 8.4293602E+7, -6.0250080E+1, 5.1877868E+2
 8.4293762E+7, -6.0199458E+1, 5.1061553E+2
 8.4293922E+7, -6.0148836E+1, 5.0188571E+2
 8.4294082E+7, -6.0098214E+1, 5.0071323E+2
 8.4294242E+7, -6.0047592E+1, 5.1216900E+2
 8.4294402E+7, -5.9996971E+1, 5.1628238E+2
 8.4294562E+7, -5.9946349E+1, 5.0673181E+2
 8.4294722E+7, -5.9895727E+1, 5.0075233E+2
 8.4294882E+7, -5.9845105E+1, 5.0295556E+2
 8.4295042E+7, -5.9794483E+1, 5.1181239E+2
 8.4295202E+7, -5.9743862E+1, 5.1426965E+2
 8.4295362E+7, -5.9693240E+1, 5.1182216E+2
 8.4295522E+7, -5.9642618E+1, 5.0376648E+2
 8.4295682E+7, -5.9591996E+1, 5.0672692E+2
 8.4295842E+7, -5.9541374E+1, 5.0921839E+2
 8.4296002E+7, -5.9490753E+1, 5.1352710E+2
 8.4296162E+7, -5.9440131E+1, 5.0862235E+2
 8.4296322E+7, -5.9389509E+1, 5.0461650E+2
 8.4296482E+7, -5.9338887E+1, 5.1109427E+2
 8.4296642E+7, -5.9288265E+1, 5.1645333E+2
 8.4296802E+7, -5.9237643E+1, 5.0657058E+2
 8.4296962E+7, -5.9187022E+1, 5.0321937E+2
 8.4297122E+7, -5.9136400E+1, 5.0430387E+2
 8.4297282E+7, -5.9085778E+1, 5.1328772E+2
 8.4297442E+7, -5.9035156E+1, 5.1569128E+2
 8.4297602E+7, -5.8984534E+1, 5.0833905E+2
 8.4297762E+7, -5.8933913E+1, 5.0209087E+2
 8.4297922E+7, -5.8883291E+1, 5.0140208E+2
 8.4298082E+7, -5.8832669E+1, 5.1056182E+2
 8.4298242E+7, -5.8782047E+1, 5.1620907E+2
 8.4298402E+7, -5.8731425E+1, 5.0860775E+2
 8.4298562E+7, -5.8680804E+1, 5.0094283E+2
 8.4298722E+7, -5.8630182E+1, 5.0581825E+2
 8.4298882E+7, -5.8579560E+1, 5.1270151E+2
 8.4299042E+7, -5.8528938E+1, 5.1862240E+2
 8.4299202E+7, -5.8478316E+1, 5.0956523E+2
 8.4299362E+7, -5.8427695E+1, 4.9917442E+2
 8.4299522E+7, -5.8377073E+1, 5.0605273E+2
 8.4299682E+7, -5.8326451E+1, 5.1627260E+2
 8.4299842E+7, -5.8275829E+1, 5.1782608E+2
 8.4300002E+7, -5.8225207E+1, 5.0798732E+2
 8.4300162E+7, -5.8174585E+1, 5.0098193E+2
 8.4300322E+7, -5.8123964E+1, 5.0637519E+2
 8.4300482E+7, -5.8073342E+1, 5.1499265E+2
 8.4300642E+7, -5.8022720E+1, 5.1142162E+2
 8.4300802E+7, -5.7972098E+1, 5.0273085E+2
 8.4300962E+7, -5.7921476E+1, 5.0403029E+2
 8.4301122E+7, -5.7870855E+1, 5.1055694E+2
 8.4301282E+7, -5.7820233E+1, 5.1541770E+2
 8.4301442E+7, -5.7769611E+1, 5.0912064E+2
 8.4301602E+7, -5.7718989E+1, 5.0200295E+2
 8.4301762E+7, -5.7668367E+1, 5.0768441E+2
 8.4301922E+7, -5.7617746E+1, 5.1121640E+2
 8.4302082E+7, -5.7567124E+1, 5.1586711E+2
 8.4302242E+7, -5.7516502E+1, 5.1000977E+2
 8.4302402E+7, -5.7465880E+1, 5.0218368E+2
 8.4302562E+7, -5.7415258E+1, 5.0589645E+2
 8.4302722E+7, -5.7364636E+1, 5.1637518E+2
 8.4302882E+7, -5.7314015E+1, 5.1738155E+2
 8.4303042E+7, -5.7263393E+1, 5.0947243E+2
 8.4303202E+7, -5.7212771E+1, 4.9943820E+2
 8.4303362E+7, -5.7162149E+1, 5.0306791E+2
 8.4303522E+7, -5.7111527E+1, 5.1837814E+2
 8.4303682E+7, -5.7060906E+1, 5.1758182E+2
 8.4303842E+7, -5.7010284E+1, 5.1074255E+2
 8.4304002E+7, -5.6959662E+1, 4.9889594E+2
 8.4304162E+7, -5.6909040E+1, 5.0318515E+2
 8.4304322E+7, -5.6858418E+1, 5.1557893E+2
 8.4304482E+7, -5.6807797E+1, 5.1663411E+2
 8.4304642E+7, -5.6757175E+1, 5.0566196E+2
 8.4304802E+7, -5.6706553E+1, 5.0049829E+2
 8.4304962E+7, -5.6655931E+1, 5.0363946E+2
 8.4305122E+7, -5.6605309E+1, 5.1204199E+2
 8.4305282E+7, -5.6554687E+1, 5.1298976E+2
 8.4305442E+7, -5.6504066E+1, 5.0456280E+2
 8.4305602E+7, -5.6453444E+1, 5.0165123E+2
 8.4305762E+7, -5.6402822E+1, 5.1212996E+2
 8.4305922E+7, -5.6352200E+1, 5.1663411E+2
 8.4306082E+7, -5.6301578E+1, 5.1186126E+2
 8.4306242E+7, -5.6250957E+1, 5.0149000E+2
 8.4306402E+7, -5.6200335E+1, 5.0222278E+2
 8.4306562E+7, -5.6149713E+1, 5.1266241E+2
 8.4306722E+7, -5.6099091E+1, 5.1659501E+2
 8.4306882E+7, -5.6048469E+1, 5.0937957E+2
 8.4307042E+7, -5.5997848E+1, 4.9914020E+2
 8.4307202E+7, -5.5947226E+1, 5.0119686E+2
 8.4307362E+7, -5.5896604E+1, 5.1346362E+2
 8.4307522E+7, -5.5845982E+1, 5.1801664E+2
 8.4307682E+7, -5.5795360E+1, 5.0377625E+2
 8.4307842E+7, -5.5744739E+1, 5.0125062E+2
 8.4308002E+7, -5.5694117E+1, 5.0301903E+2
 8.4308162E+7, -5.5643495E+1, 5.1314604E+2
 8.4308322E+7, -5.5592873E+1, 5.1595503E+2
 8.4308482E+7, -5.5542251E+1, 5.0724477E+2
 8.4308642E+7, -5.5491629E+1, 5.0016123E+2
 8.4308802E+7, -5.5441008E+1, 5.0583780E+2
 8.4308962E+7, -5.5390386E+1, 5.1080120E+2
 8.4309122E+7, -5.5339764E+1, 5.1494384E+2
 8.4309282E+7, -5.5289142E+1, 5.0788957E+2
 8.4309442E+7, -5.5238520E+1, 5.0251096E+2
 8.4309602E+7, -5.5187899E+1, 5.0856864E+2
 8.4309762E+7, -5.5137277E+1, 5.1321936E+2
 8.4309922E+7, -5.5086655E+1, 5.1365900E+2
 8.4310082E+7, -5.5036033E+1, 5.0657058E+2
 8.4310242E+7, -5.4985411E+1, 5.0167561E+2
 8.4310402E+7, -5.4934790E+1, 5.0826085E+2
 8.4310562E+7, -5.4884168E+1, 5.1489007E+2
 8.4310722E+7, -5.4833546E+1, 5.1044458E+2
 8.4310882E+7, -5.4782924E+1, 5.0601369E+2
 8.4311042E+7, -5.4732302E+1, 5.0284809E+2
 8.4311202E+7, -5.4681680E+1, 5.1036638E+2
 8.4311362E+7, -5.4631059E+1, 5.1648265E+2
 8.4311522E+7, -5.4580437E+1, 5.0994140E+2
 8.4311682E+7, -5.4529815E+1, 4.9905229E+2
 8.4311842E+7, -5.4479193E+1, 5.0052273E+2
 8.4312002E+7, -5.4428571E+1, 5.0973129E+2
 8.4312162E+7, -5.4377950E+1, 5.1563752E+2
 8.4312322E+7, -5.4327328E+1, 5.1138252E+2
 8.4312482E+7, -5.4276706E+1, 4.9974597E+2
 8.4312642E+7, -5.4226084E+1, 5.0148511E+2
 8.4312802E+7, -5.4175462E+1, 5.1335126E+2
 8.4312962E+7, -5.4124841E+1, 5.1612604E+2
 8.4313122E+7, -5.4074219E+1, 5.1327306E+2
 8.4313282E+7, -5.4023597E+1, 5.0149488E+2
 8.4313442E+7, -5.3972975E+1, 5.0203711E+2
 8.4313602E+7, -5.3922353E+1, 5.1151931E+2
 8.4313762E+7, -5.3871732E+1, 5.1313144E+2
 8.4313922E+7, -5.3821110E+1, 5.0863701E+2
 8.4314082E+7, -5.3770488E+1, 5.0283831E+2
 8.4314242E+7, -5.3719866E+1, 5.0475818E+2
 8.4314402E+7, -5.3669244E+1, 5.1138252E+2
 8.4314562E+7, -5.3618622E+1, 5.1143134E+2
 8.4314722E+7, -5.3568001E+1, 5.0562286E+2
 8.4314882E+7, -5.3517379E+1, 5.0489497E+2
 8.4315042E+7, -5.3466757E+1, 4.9984857E+2
 8.4315202E+7, -5.3416135E+1, 5.0590134E+2
 8.4315362E+7, -5.3365513E+1, 5.1142162E+2
 8.4315522E+7, -5.3314892E+1, 5.0744992E+2
 8.4315682E+7, -5.3264270E+1, 5.0146067E+2
 8.4315842E+7, -5.3213648E+1, 4.9951637E+2
 8.4316002E+7, -5.3163026E+1, 5.0981927E+2
 8.4316162E+7, -5.3112404E+1, 5.1557404E+2
 8.4316322E+7, -5.3061783E+1, 5.0972152E+2
 8.4316482E+7, -5.3011161E+1, 4.9923792E+2
 8.4316642E+7, -5.2960539E+1, 5.0412309E+2
 8.4316802E+7, -5.2909917E+1, 5.1418173E+2
 8.4316962E+7, -5.2859295E+1, 5.1447976E+2
 8.4317122E+7, -5.2808673E+1, 5.0738645E+2
 8.4317282E+7, -5.2758052E+1, 4.9761114E+2
 8.4317442E+7, -5.2707430E+1, 5.0123107E+2
 8.4317602E+7, -5.2656808E+1, 5.1367855E+2
 8.4317762E+7, -5.2606186E+1, 5.1582807E+2
 8.4317922E+7, -5.2555564E+1, 5.0787497E+2
 8.4318082E+7, -5.2504943E+1, 4.9751833E+2
 8.4318242E+7, -5.2454321E+1, 5.0320470E+2
 8.4318402E+7, -5.2403699E+1, 5.1240355E+2
 8.4318562E+7, -5.2353077E+1, 5.1271129E+2
 8.4318722E+7, -5.2302455E+1, 5.0353688E+2
 8.4318882E+7, -5.2251834E+1, 4.9974597E+2
 8.4319042E+7, -5.2201212E+1, 5.0125551E+2
