Temps___(ms):, Pos.cal.(�m):, Tension_(mV):	
8.3777024E+7, -5.0723055E+2, 5.0659013E+2
8.3777184E+7, -4.9710619E+2, 4.9749389E+2
8.3777344E+7, -4.8698182E+2, 5.0035173E+2
8.3777504E+7, -4.7685746E+2, 4.9194920E+2
8.3777664E+7, -4.6673310E+2, 5.0068879E+2
8.3777824E+7, -4.5660874E+2, 4.9829996E+2
8.3777984E+7, -4.4648437E+2, 4.9965316E+2
8.3778144E+7, -4.3636001E+2, 4.9670249E+2
8.3778304E+7, -4.2623565E+2, 4.9178797E+2
8.3778464E+7, -4.1611129E+2, 4.9990231E+2
8.3778624E+7, -4.0598693E+2, 4.9759647E+2
8.3778784E+7, -3.9586256E+2, 5.0065464E+2
8.3778944E+7, -3.8573820E+2, 4.9021983E+2
8.3779104E+7, -3.7561384E+2, 4.9231070E+2
8.3779264E+7, -3.6548948E+2, 5.0599414E+2
8.3779424E+7, -3.5536511E+2, 5.0058621E+2
8.3779584E+7, -3.4524075E+2, 5.0193453E+2
8.3779744E+7, -3.3511639E+2, 4.9244261E+2
8.3779904E+7, -3.2499203E+2, 4.9455300E+2
8.3780064E+7, -3.1486767E+2, 5.0158280E+2
8.3780224E+7, -3.0474330E+2, 5.0662923E+2
8.3780384E+7, -2.9461894E+2, 5.0690281E+2
8.3780544E+7, -2.8449458E+2, 4.8941377E+2
8.3780704E+7, -2.7437022E+2, 4.9352711E+2
8.3780864E+7, -2.6424585E+2, 5.0322914E+2
8.3781024E+7, -2.5412149E+2, 5.0547141E+2
8.3781184E+7, -2.4399713E+2, 5.0285786E+2
8.3781344E+7, -2.3387277E+2, 4.8817784E+2
8.3781504E+7, -2.2374841E+2, 4.9180263E+2
8.3781664E+7, -2.1362404E+2, 4.9470934E+2
8.3781824E+7, -2.0349968E+2, 5.0969714E+2
8.3781984E+7, -1.9337532E+2, 5.0252074E+2
8.3782144E+7, -1.8325096E+2, 4.8748413E+2
8.3782304E+7, -1.7312659E+2, 4.9332193E+2
8.3782464E+7, -1.6300223E+2, 4.9284318E+2
8.3782624E+7, -1.5287787E+2, 5.0425988E+2
8.3782784E+7, -1.4275351E+2, 4.9989742E+2
8.3782944E+7, -1.3262915E+2, 4.9892527E+2
8.3783104E+7, -1.2250478E+2, 4.9357107E+2
8.3783264E+7, -1.1238042E+2, 4.9305326E+2
8.3783424E+7, -1.0225606E+2, 5.1034194E+2
8.3783584E+7, -9.2131696E+1, 5.0267708E+2
8.3783744E+7, -8.2007334E+1, 5.0025892E+2
8.3783904E+7, -7.1882972E+1, 4.9304837E+2
8.3784064E+7, -6.1758610E+1, 5.0420129E+2
8.3784224E+7, -5.1634247E+1, 5.0085491E+2
8.3784384E+7, -4.1509885E+1, 4.9846604E+2
8.3784544E+7, -3.1385523E+1, 4.9984369E+2
8.3784704E+7, -2.1261161E+1, 4.9284807E+2
8.3784864E+7, -1.1136798E+1, 5.0310701E+2
8.3785024E+7, -1.0124362E+0, 5.0244749E+2
8.3785184E+7, 9.1119260E+0, 4.9638984E+2
8.3785344E+7, 1.9236288E+1, 4.8759159E+2
8.3785504E+7, 2.9360651E+1, 4.9471909E+2
8.3785664E+7, 3.9485013E+1, 5.0606251E+2
8.3785824E+7, 4.9609375E+1, 4.9998534E+2
8.3785984E+7, 5.9733737E+1, 4.9742550E+2
8.3786144E+7, 6.9858099E+1, 4.9123597E+2
8.3786304E+7, 7.9982462E+1, 4.9113825E+2
8.3786464E+7, 9.0106824E+1, 5.0361991E+2
8.3786624E+7, 1.0023119E+2, 5.0889105E+2
8.3786784E+7, 1.1035555E+2, 5.0370300E+2
8.3786944E+7, 1.2047991E+2, 4.8875427E+2
8.3787104E+7, 1.3060427E+2, 4.8958477E+2
8.3787264E+7, 1.4072864E+2, 5.0378114E+2
8.3787424E+7, 1.5085300E+2, 5.0496334E+2
8.3787584E+7, 1.6097736E+2, 5.0513923E+2
8.3787744E+7, 1.7110172E+2, 4.9318027E+2
8.3787904E+7, 1.8122608E+2, 4.9611139E+2
8.3788064E+7, 1.9135045E+2, 4.9603322E+2
8.3788224E+7, 2.0147481E+2, 5.0583780E+2
8.3788384E+7, 2.1159917E+2, 5.0802147E+2
8.3788544E+7, 2.2172353E+2, 4.9313629E+2
8.3788704E+7, 2.3184790E+2, 4.9502200E+2
8.3788864E+7, 2.4197226E+2, 4.9588177E+2
8.3789024E+7, 2.5209662E+2, 5.0567663E+2
8.3789184E+7, 2.6222098E+2, 4.9318027E+2
8.3789344E+7, 2.7234534E+2, 4.9233025E+2
8.3789504E+7, 2.8246971E+2, 4.9381045E+2
8.3789664E+7, 2.9259407E+2, 4.9573523E+2
8.3789824E+7, 3.0271843E+2, 5.0455302E+2
8.3789984E+7, 3.1284279E+2, 4.9658036E+2
8.3790144E+7, 3.2296716E+2, 5.0079632E+2
8.3790304E+7, 3.3309152E+2, 4.9869564E+2
8.3790464E+7, 3.4321588E+2, 5.0740594E+2
8.3790624E+7, 3.5334024E+2, 5.0353688E+2
8.3790784E+7, 3.6346460E+2, 4.9698582E+2
8.3790944E+7, 3.7358897E+2, 4.9830484E+2
8.3791104E+7, 3.8371333E+2, 5.0025403E+2
8.3791264E+7, 3.9383769E+2, 5.1083535E+2
8.3791424E+7, 4.0396205E+2, 5.0854909E+2
8.3791584E+7, 4.1408642E+2, 4.9498779E+2
8.3791744E+7, 4.2421078E+2, 4.9059111E+2
8.3791904E+7, 4.3433514E+2, 4.9246213E+2
8.3792064E+7, 4.4445950E+2, 5.0615048E+2
8.3792224E+7, 4.5458386E+2, 5.0577432E+2
8.3792384E+7, 4.6470823E+2, 4.9365902E+2
8.3792544E+7, 4.7483259E+2, 4.8947239E+2
8.3792704E+7, 4.8495695E+2, 4.9512458E+2
8.3792864E+7, 4.9508131E+2, 5.0730336E+2
8.3793024E+7, 5.0520568E+2, 5.0457746E+2
8.3793184E+7, 5.1533004E+2, 5.0247681E+2
8.3793344E+7, 5.2545440E+2, 4.9534929E+2
8.3793504E+7, 5.3557876E+2, 4.9586225E+2
8.3793664E+7, 5.4570313E+2, 5.0584757E+2
8.3793824E+7, 5.5582749E+2, 5.0509524E+2
8.3793984E+7, 5.6595185E+2, 5.0239861E+2
8.3794144E+7, 5.7607621E+2, 4.9177334E+2
8.3794304E+7, 5.8620057E+2, 5.0208110E+2
8.3794464E+7, 5.9632494E+2, 5.0311190E+2
8.3794624E+7, 6.0644930E+2, 5.0706398E+2
8.3794784E+7, 6.1657366E+2, 5.0315094E+2
8.3794944E+7, 6.2669802E+2, 4.9323401E+2
8.3795104E+7, 6.3682239E+2, 5.0473374E+2
8.3795264E+7, 6.4694675E+2, 5.0303859E+2
8.3795424E+7, 6.5707111E+2, 5.0111383E+2
8.3795584E+7, 6.6719547E+2, 4.9131900E+2
8.3795744E+7, 6.7731983E+2, 4.9764535E+2
8.3795904E+7, 6.8744420E+2, 5.0327796E+2
8.3796064E+7, 6.9756856E+2, 5.0452858E+2
8.3796224E+7, 7.0769292E+2, 5.0085002E+2
8.3796384E+7, 7.1781728E+2, 4.9155349E+2
8.3796544E+7, 7.2794165E+2, 4.9728385E+2
8.3796704E+7, 7.3806601E+2, 5.0254518E+2
8.3796864E+7, 7.4819037E+2, 5.0901318E+2
8.3797024E+7, 7.5831473E+2, 5.0547141E+2
8.3797184E+7, 7.6843909E+2, 4.9126527E+2
8.3797344E+7, 7.7856346E+2, 4.9332681E+2
8.3797504E+7, 7.8868782E+2, 5.0362480E+2
8.3797664E+7, 7.9881218E+2, 5.0844163E+2
8.3797824E+7, 8.0893654E+2, 5.0452369E+2
8.3797984E+7, 8.1906091E+2, 4.9429896E+2
8.3798144E+7, 8.2918527E+2, 4.9184173E+2
8.3798304E+7, 8.3930963E+2, 4.9881777E+2
8.3798464E+7, 8.4943399E+2, 5.0936979E+2
8.3798624E+7, 8.5955835E+2, 5.0751346E+2
8.3798784E+7, 8.6968272E+2, 4.9383977E+2
8.3798944E+7, 8.7980708E+2, 4.9822178E+2
8.3799104E+7, 8.8993144E+2, 5.0039572E+2
8.3799264E+7, 9.0005580E+2, 5.0751346E+2
8.3799424E+7, 9.1018017E+2, 4.9824622E+2
