lambda, A
660.00,	146.03
661.00,	146.04
662.00,	145.58
663.00,	145.23
664.00,	142.84
665.00,	144.41
666.00,	143.87
667.00,	146.54
668.00,	142.05
669.00,	144.81
670.00,	143.35
671.00,	144.71
672.00,	142.10
673.00,	143.95
674.00,	144.13
675.00,	139.30
676.00,	142.73
677.00,	143.14
678.00,	142.47
679.00,	146.01
680.00,	143.64
681.00,	142.82
682.00,	138.85
683.00,	143.34
684.00,	140.89
685.00,	142.48
686.00,	139.98
687.00,	141.07
688.00,	144.99
689.00,	142.00
690.00,	144.04
691.00,	144.11
692.00,	143.98
693.00,	140.47
694.00,	143.31
695.00,	142.21
696.00,	143.68
697.00,	144.27
698.00,	145.70
699.00,	140.57
700.00,	144.14
701.00,	141.68
702.00,	142.84
703.00,	142.38
704.00,	141.75
705.00,	148.43
706.00,	153.19
707.00,	151.72
708.00,	146.17
709.00,	141.19
710.00,	143.19
711.00,	142.21
712.00,	139.88
713.00,	142.49
714.00,	141.89
715.00,	143.88
716.00,	141.45
717.00,	139.99
718.00,	142.91
719.00,	142.99
720.00,	145.00
721.00,	141.99
722.00,	143.06
723.00,	140.04
724.00,	147.95
725.00,	144.95
726.00,	140.05
727.00,	145.94
728.00,	146.14
729.00,	143.35
730.00,	143.04
731.00,	143.00
732.00,	138.07
733.00,	141.03
734.00,	138.99
735.00,	140.98
736.00,	139.96
737.00,	175.98
738.00,	140.97
739.00,	142.04
740.00,	143.12
741.00,	143.22
742.00,	141.01
743.00,	140.92
744.00,	143.84
745.00,	143.01
746.00,	142.40
747.00,	141.02
748.00,	142.64
749.00,	143.66
750.00,	141.22
751.00,	146.84
752.00,	142.04
753.00,	148.42
754.00,	144.55
755.00,	141.49
756.00,	140.48
757.00,	140.10
758.00,	139.41
759.00,	141.46
760.00,	141.69
761.00,	142.24
762.00,	142.59
763.00,	143.75
764.00,	144.45
765.00,	144.80
766.00,	146.85
767.00,	143.07
768.00,	139.00
769.00,	141.11
770.00,	143.03
771.00,	138.79
772.00,	140.80
773.00,	142.67
774.00,	141.83
775.00,	142.49
776.00,	142.22
777.00,	141.81
778.00,	140.75
779.00,	139.25
780.00,	140.72
781.00,	140.95
782.00,	144.02
783.00,	142.20
784.00,	141.06
785.00,	140.67
786.00,	142.01
787.00,	139.63
788.00,	140.40
789.00,	143.16
790.00,	140.66
791.00,	143.51
792.00,	141.90
793.00,	142.71
794.00,	140.11
795.00,	142.00
796.00,	140.88
797.00,	142.92
798.00,	136.73
799.00,	140.99
800.00,	141.84
801.00,	140.18
802.00,	141.61
803.00,	143.02
804.00,	142.10
805.00,	141.04
806.00,	146.22
807.00,	141.03
808.00,	141.67
809.00,	142.30
810.00,	142.60
811.00,	141.22
812.00,	136.92
813.00,	143.01
814.00,	145.74
815.00,	142.96
816.00,	140.75
817.00,	143.38
818.00,	144.63
819.00,	145.97
820.00,	141.22
821.00,	143.00
822.00,	142.05
823.00,	141.01
824.00,	143.08
825.00,	145.14
826.00,	143.22
827.00,	140.61
828.00,	140.05
829.00,	141.68
830.00,	139.82
831.00,	140.65
832.00,	141.93
833.00,	141.61
834.00,	142.82
835.00,	140.97
836.00,	142.20
837.00,	147.14
838.00,	142.58
839.00,	139.91
840.00,	143.27
841.00,	144.85
842.00,	142.07
843.00,	140.86
844.00,	138.71
845.00,	139.09
846.00,	141.72
847.00,	136.98
848.00,	143.43
849.00,	143.95
850.00,	143.85
851.00,	142.54
852.00,	142.91
853.00,	142.17
854.00,	143.69
855.00,	138.65
856.00,	141.62
857.00,	138.96
858.00,	143.02
859.00,	144.10
860.00,	140.67
861.00,	139.91
862.00,	142.88
863.00,	142.36
864.00,	144.90
865.00,	143.03
866.00,	143.02
867.00,	139.99
868.00,	143.60
869.00,	143.88
870.00,	142.66
871.00,	140.90
872.00,	141.24
873.00,	140.01
874.00,	140.58
875.00,	141.47
876.00,	140.04
877.00,	141.75
878.00,	142.19
879.00,	142.61
880.00,	140.01
881.00,	144.94
882.00,	143.05
883.00,	140.79
884.00,	142.82
885.00,	140.76
886.00,	143.36
887.00,	140.43
888.00,	142.42
889.00,	141.71
890.00,	143.05
891.00,	143.37
892.00,	141.00
893.00,	145.84
894.00,	137.83
895.00,	143.99
896.00,	140.99
897.00,	141.60
898.00,	141.84
899.00,	149.63
900.00,	140.87
901.00,	133.13
902.00,	139.20
903.00,	139.92
904.00,	142.07
905.00,	141.39
906.00,	141.69
907.00,	142.01
908.00,	140.81
909.00,	144.69
910.00,	141.12
911.00,	142.64
912.00,	142.04
