lambda, A
658.00,	135.78
659.00,	137.69
660.00,	136.01
661.00,	139.96
662.00,	136.03
663.00,	139.01
664.00,	139.86
665.00,	136.79
666.00,	136.23
667.00,	138.78
668.00,	137.83
669.00,	137.15
670.00,	137.05
671.00,	137.22
672.00,	137.12
673.00,	136.92
674.00,	140.00
675.00,	136.08
676.00,	137.77
677.00,	142.39
678.00,	141.61
679.00,	138.46
680.00,	136.79
681.00,	138.25
682.00,	136.89
683.00,	140.73
684.00,	137.77
685.00,	139.91
686.00,	137.82
687.00,	141.92
688.00,	137.03
689.00,	139.97
690.00,	139.90
691.00,	137.99
692.00,	136.42
693.00,	137.34
694.00,	132.74
695.00,	139.41
696.00,	138.36
697.00,	137.32
698.00,	138.96
699.00,	140.22
700.00,	137.68
701.00,	136.88
702.00,	136.00
703.00,	138.22
704.00,	137.49
705.00,	137.58
706.00,	138.39
707.00,	137.83
708.00,	136.63
709.00,	138.17
710.00,	139.25
711.00,	140.88
712.00,	135.83
713.00,	136.89
714.00,	137.37
715.00,	134.39
716.00,	141.86
717.00,	138.00
718.00,	141.04
719.00,	137.94
720.00,	138.99
721.00,	140.01
722.00,	137.96
723.00,	139.06
724.00,	140.07
725.00,	134.15
726.00,	136.03
727.00,	139.98
728.00,	137.96
729.00,	135.97
730.00,	134.90
731.00,	137.07
732.00,	136.99
733.00,	134.90
734.00,	136.95
735.00,	136.99
736.00,	140.02
737.00,	148.99
738.00,	136.99
739.00,	139.09
740.00,	137.95
741.00,	136.06
742.00,	138.06
743.00,	137.77
744.00,	138.67
745.00,	139.82
746.00,	138.09
747.00,	139.03
748.00,	137.78
749.00,	133.06
750.00,	136.19
751.00,	137.22
752.00,	135.33
753.00,	135.99
754.00,	139.20
755.00,	137.24
756.00,	137.28
757.00,	141.15
758.00,	138.15
759.00,	140.34
760.00,	137.18
761.00,	136.31
762.00,	136.26
763.00,	134.75
764.00,	136.63
765.00,	135.45
766.00,	139.89
767.00,	138.07
768.00,	139.00
769.00,	136.96
770.00,	139.20
771.00,	139.27
772.00,	135.44
773.00,	141.65
774.00,	138.22
775.00,	139.82
776.00,	137.49
777.00,	138.48
778.00,	135.68
779.00,	137.54
780.00,	134.01
781.00,	136.61
782.00,	137.94
783.00,	141.15
784.00,	136.01
785.00,	137.89
786.00,	137.83
787.00,	137.68
788.00,	135.71
789.00,	136.55
790.00,	134.22
791.00,	135.75
792.00,	134.13
793.00,	138.92
794.00,	136.75
795.00,	140.00
796.00,	140.08
797.00,	136.96
798.00,	137.23
799.00,	138.48
800.00,	139.48
801.00,	139.79
802.00,	135.92
803.00,	135.53
804.00,	139.93
805.00,	135.91
806.00,	135.81
807.00,	139.20
808.00,	135.18
809.00,	137.03
810.00,	136.66
811.00,	135.00
812.00,	137.77
813.00,	138.00
814.00,	136.08
815.00,	137.14
816.00,	136.02
817.00,	136.51
818.00,	136.03
819.00,	136.76
820.00,	133.96
821.00,	135.07
822.00,	135.74
823.00,	137.19
824.00,	135.48
825.00,	133.79
826.00,	134.20
827.00,	135.03
828.00,	138.00
829.00,	132.40
830.00,	135.73
831.00,	130.30
832.00,	132.69
833.00,	135.24
834.00,	135.86
835.00,	135.94
836.00,	132.83
837.00,	134.16
838.00,	135.61
839.00,	133.91
840.00,	133.89
841.00,	137.13
842.00,	132.13
843.00,	135.69
844.00,	137.52
845.00,	131.15
846.00,	137.10
847.00,	136.99
848.00,	134.80
849.00,	136.38
850.00,	134.73
851.00,	137.74
852.00,	134.88
853.00,	135.98
854.00,	133.91
855.00,	137.07
856.00,	136.87
857.00,	133.04
858.00,	135.38
859.00,	135.73
860.00,	135.78
861.00,	134.16
862.00,	136.85
863.00,	135.37
864.00,	134.01
865.00,	135.58
866.00,	134.92
867.00,	135.01
868.00,	134.47
869.00,	133.91
870.00,	135.99
871.00,	135.58
872.00,	132.93
873.00,	133.97
874.00,	135.16
875.00,	135.51
876.00,	134.02
877.00,	135.51
878.00,	132.84
879.00,	135.09
880.00,	134.96
881.00,	135.49
882.00,	134.24
883.00,	136.20
884.00,	137.14
885.00,	134.17
886.00,	136.66
887.00,	139.12
888.00,	133.08
889.00,	136.79
890.00,	135.93
891.00,	134.30
892.00,	137.56
893.00,	135.91
894.00,	137.49
895.00,	134.60
896.00,	135.05
897.00,	135.29
898.00,	136.17
899.00,	140.74
900.00,	134.98
901.00,	133.75
902.00,	136.09
903.00,	134.85
904.00,	135.68
905.00,	134.56
906.00,	132.55
907.00,	135.00
908.00,	137.69
909.00,	136.99
910.00,	134.15
911.00,	133.13
912.00,	132.95
913.00,	135.31
914.00,	135.25
915.00,	135.33
916.00,	136.56
917.00,	133.99
918.00,	135.09
919.00,	132.83
920.00,	132.80
921.00,	134.57
922.00,	132.38
923.00,	131.69
924.00,	132.39
925.00,	135.42
926.00,	135.74
927.00,	133.54
928.00,	135.63
929.00,	134.25
930.00,	132.55
931.00,	132.21
932.00,	137.08
933.00,	134.46
934.00,	132.88
935.00,	133.18
936.00,	134.50
937.00,	129.98
938.00,	136.16
939.00,	132.56
940.00,	131.21
941.00,	132.00
942.00,	133.99
943.00,	130.83
944.00,	133.80
945.00,	136.80
946.00,	130.17
947.00,	133.82
948.00,	132.62
949.00,	131.02
950.00,	131.28
951.00,	131.85
952.00,	135.11
953.00,	134.77
954.00,	133.95
955.00,	134.89
956.00,	134.52
957.00,	132.00
958.00,	133.70
959.00,	134.43
960.00,	133.11
961.00,	133.68
962.00,	131.01
963.00,	131.46
964.00,	135.86
965.00,	133.40
966.00,	135.49
967.00,	130.92
968.00,	132.02
969.00,	133.88
970.00,	134.60
971.00,	132.45
972.00,	133.75
973.00,	132.25
974.00,	134.97
975.00,	130.98
976.00,	133.18
977.00,	130.57
978.00,	132.00
979.00,	131.81
980.00,	130.87
981.00,	131.63
982.00,	131.92
983.00,	133.01
984.00,	130.87
985.00,	134.00
986.00,	132.67
987.00,	132.78
988.00,	133.92
989.00,	131.55
990.00,	131.76
991.00,	132.28
992.00,	135.61
993.00,	133.49
994.00,	134.15
995.00,	133.98
996.00,	128.84
997.00,	132.89
998.00,	131.12
999.00,	129.52
1000.00, 133.06
